Power status;Alerts status;Meters status;Accounting status;In Contract;Connection type;Company;Printer;Printer's address;Manufacturer;Model;Serial;Site;Department;Contact;Asset number;Location;Days without meters;Zona;Provincia;Ciudad;Edificio;Tipo de unidad;Codigo de Red;NOTAS;EXCEPCIONES ALERTAS;Last meter
Unknown;NoMonitoringRecently;NoCountersRecently;NoBillingData;True;Network;CORREOS_KYO_ES;E0302638;10.57.207.175;Kyocera;ECOSYS M3550idn;LSN7841988;3-TARRAGONA-TARRAGONA-OP-4300010;;934868158 - FERNANDO HERNANDEZ MARIN 0800001 - laia.turull@correos.com;;CODIGO DE RED:0800001/PERSONA DE CONTACTO:ALFONSO CID/DEPARTAMENTO:SALA APARATOS/LOCALIZACION DESTINO:SALA APARATOS/DIRECCION:C/ VIA LAYETANA, 1/LOCALIDAD:BARCELONA/PROVINCIA:BARCELONA;35;3;BARCELONA;BARCELONA;0;JP;800001;;;02/03/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0303569;10.55.144.20;Kyocera;TASKalfa 356ci;V7C7810895;4-CACERES-CACERES-JP-1000001;;953245969 - ANTONIO ROMERO MEJIAS 2300001 - antonio.romero@correos.com;;CODIGO DE RED:2300001/PERSONA DE CONTACTO:ANTONIO ROMERO/DEPARTAMENTO:CONTROL E INSPECCIÓN/LOCALIZACION DESTINO:JEF._PROV._JAÉN/DIRECCION:PLAZA DE LOS JARDINILLOS, S/N/LOCALIDAD:JAEN/PROVINCIA:JAEN;0;6;JAEN;JAEN;0;JP;2300001;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0312217;10.57.91.19;Kyocera;ECOSYS P3055dn;VLW7549364;4-MADRID-MADRID-CAM-2893894;;915075688 - MADRID CAM 4 - centro.paqueteria.canarias.adt@correos.com;;CODIGO DE RED:2893894/PERSONA DE CONTACTO:RESPONSABLE OFICINA/DEPARTAMENTO:CAM 4/LOCALIZACIÓN DESTINO:CAM 4 MADRID CENTRO DE PAQUETERIA CANARIAS ADT/DIRECCION:CRTA. VILLAVERDE-VALLECAS KM. 3,5  NAVE S 9 B2/LOCALIDAD:MADRID/PROVINCIA:MADRID;0;4;MADRID;MADRID;0;CAM;2893894;;;06/04/2020
On;OrangeEvent;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0303962;10.55.170.38;Kyocera;ECOSYS P3055dn;VLW7651370;4-CACERES-CACERES-JP-1000001;;976151038 - RESPONSABLE OFICINA 5026894 - ;;CODIGO DE RED:5026894/PERSONA DE CONTACTO:RESPONSABLE_OFICINA/DEPARTAMENTO:UNIDAD_PRODUCTOS_REGISTRADOS/LOCALIZACION DESTINO:ZARAGOZA_CTA/DIRECCION:CRTRA._HUESCA,_KM._7,2,_C/_F_P.I._CIUDAD_DEL_TRANSPORTE/LOCALIDAD:ZARAGOZA/PROVINCIA:ZARAGOZA;0;2;ZARAGOZA;ZARAGOZA;0;CTA;5026894;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0303589;10.55.36.30;Kyocera;ECOSYS P3055dn;VLW7651242;4-CACERES-CACERES-JP-1000001;;967550405 - RESPONSABLE OFICINA 0200001 - Jefe_CTP.Albacete@correos.com;;CODIGO DE RED:200001/PERSONA DE CONTACTO:RESPONSABLE_OFICINA/DEPARTAMENTO:2ª PT/LOCALIZACION DESTINO:JEF._PROV._ALBACETE/DIRECCION:ROSARIO, 53/LOCALIDAD:ALBACETE/PROVINCIA:ALBACETE;0;4;ALBACETE;ALBACETE;0;JP;200001;;;06/04/2020
Unknown;NoMonitoringRecently;NoCountersRecently;NoBillingData;True;Network;CORREOS_KYO_ES;E0302663;10.57.207.177;Kyocera;ECOSYS M3550idn;LSN7842799;4-CACERES-CACERES-UR-1003096;;934868132 - FERNANDO HERNANDEZ MARIN 0800001 - fernando.hernandez.marin@correos.com;;CODIGO DE RED:800001/PERSONA DE CONTACTO:Fernando Hernández Marín/DEPARTAMENTO:LOGISTICA - SALA APARATOS/LOCALIZACIÓN DESTINO:BARCELONA JP/DIRECCION:Plaza Antonio López s/n, 1ª planta/LOCALIDAD:BARCELONA/PROVINCIA:BARCELONA;61;03;BARCELONA;BARCELONA;0;JP;800001;;;05/02/2020
Off;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0312219;10.57.91.21;Kyocera;ECOSYS P3055dn;VLW7549391;4-MADRID-MADRID-CAM-2893894;;915075688 - MADRID CAM 4 - centro.paqueteria.canarias.adt@correos.com;;CODIGO DE RED:2893894/PERSONA DE CONTACTO:MARIAN/DEPARTAMENTO:CAM 4/LOCALIZACIÓN DESTINO:CAM 4 MADRID CENTRO DE PAQUETERIA CANARIAS ADT/DIRECCION:CRTA. VILLAVERDE-VALLECAS KM. 3,5  NAVE S 9 B/LOCALIDAD:MADRID/PROVINCIA:MADRID;0;4;MADRID;MADRID;0;CAM;2893894;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0312216;10.57.72.42;Kyocera;ECOSYS P3055dn;VLW7549368;4-MADRID-MADRID-CAM-2812796;;914688161/914688167 - MARCELINO RINCON IGLESIAS 2812796 - secretariacam2.madrid@correos.es;;CODIGO DE RED:2812796/PERSONA DE CONTACTO:MARCELINO RINCON IGLESIAS/DEPARTAMENTO:CAM 2/LOCALIZACION DESTINO:MADRID-CAM_2/DIRECCION:CTRA.VILLAVERDE-VALLECAS KM.3,500,CENTRO TRANSPORTES MADRID/LOCALIDAD:MADRID/PROVINCIA:MADRID;0;4;MADRID;MADRID;0;CAM;2812096;;;06/04/2020
On;NoEvents;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0302242;10.57.5.211;Kyocera;ECOSYS P3055dn;VLW7650452;4-MADRID-MADRID-CAM-2812096;;917866475 - RESPONSABLE OFICINA 2859194 - ;;CODIGO DE RED:2859194/PERSONA DE CONTACTO:RESPONSABLE_OFICINA/DEPARTAMENTO:SALA TRATAMIENTO/LOCALIZACION DESTINO:MADRID-CAM_3/DIRECCION:CRTA. VILLAVERDE A VALLECAS KM. 3/LOCALIDAD:MADRID/PROVINCIA:MADRID;0;4;MADRID;MADRID;0;CAM;2859194;;;06/04/2020
On;RedEvent;CountersEnabled;NoBillingData;True;Network;CORREOS_KYO_ES;E0302376;10.57.72.49;Kyocera;ECOSYS P3055dn;VLW7549373;4-MADRID-MADRID-CAM-2812796;;917866475 - ANGEL PEREZ DEL CASTILLO - ;;CODIGO DE RED:2859194/PERSONA DE CONTACTO:RESPONSABLE_OFICINA/DEPARTAMENTO:SALA TRATAMIENTO/LOCALIZACION DESTINO:MADRID-CAM_3/DIRECCION:CRTA. VILLAVERDE A VALLECAS KM. 3/LOCALIDAD:MADRID/PROVINCIA:MADRID;0;4;MADRID;MADRID;0;CAM;2859194;;;06/04/2020
